Source File,Page,Has_Text,Has_Order_Header,Used_OCR
100.pdf,35,True,True,False
100.pdf,36,True,True,False
100.pdf,37,True,True,False
100.pdf,38,True,True,False
100.pdf,39,True,True,False
100.pdf,40,True,True,False
100.pdf,41,True,True,False
100.pdf,42,True,True,False
100.pdf,43,True,True,False
100.pdf,44,True,True,False
100.pdf,45,True,True,False
100.pdf,46,True,True,False
100.pdf,47,True,True,False
100.pdf,48,True,True,False
100.pdf,49,True,True,False
100.pdf,50,True,True,False
100.pdf,51,True,True,False
100.pdf,52,True,True,False
100.pdf,53,True,True,False
100.pdf,54,True,True,False
100.pdf,55,True,True,False
100.pdf,56,True,True,False
100.pdf,57,True,True,False
100.pdf,58,True,True,False
100.pdf,59,True,True,False
100.pdf,60,True,True,False
100.pdf,61,True,True,False
100.pdf,62,True,True,False
100.pdf,63,True,True,False
100.pdf,64,True,True,False
100.pdf,65,True,True,False
100.pdf,66,True,True,False
100.pdf,67,True,True,False
100.pdf,68,True,True,False
100.pdf,69,True,True,False
100.pdf,70,True,True,False
100.pdf,71,True,True,False
100.pdf,72,True,True,False
100.pdf,73,True,True,False
100.pdf,74,True,True,False
100.pdf,75,True,True,False
100.pdf,76,True,True,False
100.pdf,77,True,True,False
100.pdf,78,True,True,False
100.pdf,79,True,True,False
100.pdf,80,True,True,False
101.pdf,1,True,True,False
101.pdf,2,True,True,False
101.pdf,3,True,True,False
101.pdf,4,True,True,False
101.pdf,5,True,True,False
101.pdf,6,True,True,False
101.pdf,7,True,True,False
101.pdf,8,False,False,False
101.pdf,9,True,True,False
101.pdf,10,False,False,False
101.pdf,11,True,True,False
101.pdf,12,True,True,False
101.pdf,13,True,True,False
101.pdf,14,True,True,False
101.pdf,15,True,True,False
101.pdf,16,True,True,False
101.pdf,17,True,True,False
101.pdf,18,True,True,False
101.pdf,19,True,True,False
101.pdf,20,True,True,False
101.pdf,21,True,True,False
101.pdf,22,True,True,False
101.pdf,23,True,True,False
101.pdf,24,True,True,False
101.pdf,25,True,True,False
101.pdf,26,True,True,False
101.pdf,27,True,True,False
101.pdf,28,True,True,False
101.pdf,29,True,True,False
101.pdf,30,True,True,False
101.pdf,31,True,True,False
101.pdf,32,True,True,False
101.pdf,33,True,True,False
101.pdf,34,True,False,True
101.pdf,35,True,True,False
101.pdf,36,True,True,False
101.pdf,37,True,True,False
101.pdf,38,True,True,False
101.pdf,39,True,True,False
101.pdf,40,True,True,False
101.pdf,41,True,True,False
101.pdf,42,True,True,False
101.pdf,43,True,True,False
101.pdf,44,True,True,False
101.pdf,45,True,True,False
101.pdf,46,True,True,False
101.pdf,47,True,True,False
101.pdf,48,True,False,True
101.pdf,49,True,True,False
101.pdf,50,True,True,False
101.pdf,51,True,True,False
101.pdf,52,True,True,False
101.pdf,53,True,True,False
101.pdf,54,True,True,False
101.pdf,55,True,True,False
101.pdf,56,True,True,False
101.pdf,57,True,True,False
101.pdf,58,True,True,False
101.pdf,59,True,True,False
101.pdf,60,True,True,False
101.pdf,61,True,True,False
101.pdf,62,True,True,False
101.pdf,63,True,True,False
101.pdf,64,True,True,False
101.pdf,65,True,True,False
101.pdf,66,True,True,False
101.pdf,67,True,True,False
101.pdf,68,True,True,False
101.pdf,69,True,True,False
101.pdf,70,True,True,False
101.pdf,71,True,True,False
101.pdf,72,True,True,False
101.pdf,73,True,True,False
101.pdf,74,True,True,False
101.pdf,75,True,True,False
101.pdf,76,True,True,False
101.pdf,77,True,True,False
101.pdf,78,True,True,False
101.pdf,79,True,True,False
